2025-12-09 08:00:00.031 [scheduling-1] INFO  c.s.i.f.m.s.FundMonitorScheduler - ========== 开始执行基金监控定时任务 ==========
2025-12-09 08:00:00.367 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 010500 - 中银创新医疗混合C
2025-12-09 08:00:00.367 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 010500
2025-12-09 08:00:00.371 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '010500' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:00.372 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 010500 - 中银创新医疗混合C
2025-12-09 08:00:00.372 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 016858 - 国金量化多因子C
2025-12-09 08:00:00.372 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=016858, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.375 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '016858' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:00.375 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=016858, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.494 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=016858, count=21
2025-12-09 08:00:00.506 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 5 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('016858', '国金量化多因子C', 2025-11-10, 3.0118, -0.03, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-11, 2.9927, -0.63, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-12, 2.9647, -0.94, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-13, 3.0147, 1.69, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-14, 2.9698, -1.49, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-17, 2.9941, 0.82, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-18, 2.9568, -1.25, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-19, 2.9468, -0.34, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-20, 2.9154, -1.07, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-21, 2.7739, -4.85, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-24, 2.7823, 0.30, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-25, 2.8417, 2.13, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-26, 2.8614, 0.69, NOW(), NOW()) , ('016858', '国金量化多因子C', 2025-11-27, 2...
2025-12-09 08:00:00.506 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=016858, count=41
2025-12-09 08:00:00.506 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 016858 - 国金量化多因子C, 更新记录数: 41
2025-12-09 08:00:00.506 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 016858 - 国金量化多因子C
2025-12-09 08:00:00.506 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 016858
2025-12-09 08:00:00.510 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '016858' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:00.510 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 016858 - 国金量化多因子C
2025-12-09 08:00:00.510 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 007950 - 招商量化精选C
2025-12-09 08:00:00.510 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=007950, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.512 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '007950' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:00.512 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=007950, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.595 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=007950, count=21
2025-12-09 08:00:00.606 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 4 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('007950', '招商量化精选C', 2025-11-10, 3.4322, -0.49, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-11, 3.4189, -0.39, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-12, 3.4047, -0.42, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-13, 3.4407, 1.06, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-14, 3.4031, -1.09, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-17, 3.3822, -0.61, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-18, 3.3298, -1.55, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-19, 3.2878, -1.26, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-20, 3.2685, -0.59, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-21, 3.1555, -3.46, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-24, 3.1951, 1.25, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-25, 3.2370, 1.31, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-26, 3.2236, -0.41, NOW(), NOW()) , ('007950', '招商量化精选C', 2025-11-27, 3.2420, 0.57,...
2025-12-09 08:00:00.606 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=007950, count=41
2025-12-09 08:00:00.606 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 007950 - 招商量化精选C, 更新记录数: 41
2025-12-09 08:00:00.606 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 007950 - 招商量化精选C
2025-12-09 08:00:00.606 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 007950
2025-12-09 08:00:00.608 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '007950' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:00.609 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 007950 - 招商量化精选C
2025-12-09 08:00:00.609 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 014198 - 华夏智胜先锋股票C
2025-12-09 08:00:00.609 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=014198, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.611 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '014198' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:00.611 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=014198, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.709 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=014198, count=21
2025-12-09 08:00:00.718 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 4 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('014198', '华夏智胜先锋股票C', 2025-11-10, 1.5579, 0.12, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-11, 1.5521, -0.37, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-12, 1.5504, -0.11, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-13, 1.5673, 1.09, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-14, 1.5538, -0.86, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-17, 1.5470, -0.44, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-18, 1.5334, -0.88, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-19, 1.5268, -0.43, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-20, 1.5209, -0.39, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-21, 1.4698, -3.36, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-24, 1.4806, 0.73, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-25, 1.5004, 1.34, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C', 2025-11-26, 1.4991, -0.09, NOW(), NOW()) , ('014198', '华夏智胜先锋股票C'...
2025-12-09 08:00:00.718 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=014198, count=41
2025-12-09 08:00:00.718 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 014198 - 华夏智胜先锋股票C, 更新记录数: 41
2025-12-09 08:00:00.718 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 014198 - 华夏智胜先锋股票C
2025-12-09 08:00:00.718 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 014198
2025-12-09 08:00:00.720 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '014198' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:00.720 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 014198 - 华夏智胜先锋股票C
2025-12-09 08:00:00.720 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 021526 - 南华丰汇混合C
2025-12-09 08:00:00.720 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=021526, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.723 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '021526' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:00.723 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=021526, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.818 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=021526, count=21
2025-12-09 08:00:00.829 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 4 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('021526', '南华丰汇混合C', 2025-11-10, 1.9023, 0.48, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-11, 1.9048, 0.13, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-12, 1.8964, -0.44, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-13, 1.9126, 0.85, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-14, 1.8988, -0.72, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-17, 1.8904, -0.44, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-18, 1.8736, -0.89, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-19, 1.8595, -0.75, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-20, 1.8444, -0.81, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-21, 1.7837, -3.29, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-24, 1.8098, 1.46, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-25, 1.8263, 0.91, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-26, 1.8210, -0.29, NOW(), NOW()) , ('021526', '南华丰汇混合C', 2025-11-27, 1.8263, 0.29, N...
2025-12-09 08:00:00.829 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=021526, count=41
2025-12-09 08:00:00.829 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 021526 - 南华丰汇混合C, 更新记录数: 41
2025-12-09 08:00:00.829 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 021526 - 南华丰汇混合C
2025-12-09 08:00:00.830 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 021526
2025-12-09 08:00:00.832 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '021526' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:00.832 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 021526 - 南华丰汇混合C
2025-12-09 08:00:00.832 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 018561 - 中信保诚多策略灵活配置混合C
2025-12-09 08:00:00.832 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=018561, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.833 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 0 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '018561' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:00.834 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=018561, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.929 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=018561, count=21
2025-12-09 08:00:00.939 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 4 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('018561', '中信保诚多策略灵活配置混合C', 2025-11-10, 2.2396, 0.25, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-11, 2.2493, 0.43, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-12, 2.2449, -0.20, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-13, 2.2595, 0.65, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-14, 2.2744, 0.66, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-17, 2.2795, 0.22, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-18, 2.2697, -0.43, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-19, 2.2295, -1.80, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-20, 2.2175, -0.54, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-21, 2.1386, -3.56, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-24, 2.1735, 1.63, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 2025-11-25, 2.1980, 1.13, NOW(), NOW()) , ('018561', '中信保诚多策略灵活配置混合C', 202...
2025-12-09 08:00:00.939 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=018561, count=41
2025-12-09 08:00:00.939 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 018561 - 中信保诚多策略灵活配置混合C, 更新记录数: 41
2025-12-09 08:00:00.939 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 018561 - 中信保诚多策略灵活配置混合C
2025-12-09 08:00:00.939 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 018561
2025-12-09 08:00:00.941 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 2 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '018561' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:00.941 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 018561 - 中信保诚多策略灵活配置混合C
2025-12-09 08:00:00.941 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 002834 - 华夏新锦绣灵活配置混合C
2025-12-09 08:00:00.941 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=002834, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:00.943 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '002834' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:00.943 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=002834, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.008 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=002834, count=21
2025-12-09 08:00:01.018 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 5 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('002834', '华夏新锦绣灵活配置混合C', 2025-11-10, 3.0432, 0.75, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-11, 3.0503, 0.23, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-12, 3.0488, -0.05, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-13, 3.0807, 1.05, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-14, 3.0842, 0.11, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-17, 3.0844, 0.01, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-18, 3.0637, -0.67, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-19, 3.0243, -1.29, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-20, 3.0114, -0.43, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-21, 2.9142, -3.23, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-24, 2.9417, 0.94, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-25, 2.9743, 1.11, NOW(), NOW()) , ('002834', '华夏新锦绣灵活配置混合C', 2025-11-26, 2.9674, -0.23, NO...
2025-12-09 08:00:01.019 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=002834, count=41
2025-12-09 08:00:01.019 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 002834 - 华夏新锦绣灵活配置混合C, 更新记录数: 41
2025-12-09 08:00:01.019 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 002834 - 华夏新锦绣灵活配置混合C
2025-12-09 08:00:01.019 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 002834
2025-12-09 08:00:01.021 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '002834' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:01.021 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 002834 - 华夏新锦绣灵活配置混合C
2025-12-09 08:00:01.021 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 012920 - 易方达全球成长精选混合
2025-12-09 08:00:01.021 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=012920, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.023 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '012920' ORDER BY nav_date DESC LIMIT 1
2025-12-09 08:00:01.024 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始爬取基金数据: fundCode=012920, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.150 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 成功爬取基金数据: fundCode=012920, count=20
2025-12-09 08:00:01.164 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 5 ms, SQL: INSERT INTO fund_nav (fund_code, fund_name, nav_date, unit_nav, daily_return, create_time, update_time) VALUES ('012920', '易方达全球成长精选混合', 2025-11-10, 2.5229, 2.19, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-11, 2.4857, -1.50, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-12, 2.4924, 0.27, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-13, 2.4424, -2.05, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-14, 2.4191, -0.96, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-17, 2.4147, -0.18, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-18, 2.3784, -1.53, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-19, 2.4058, 1.14, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-20, 2.3514, -2.31, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-21, 2.3142, -1.61, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-24, 2.3781, 2.69, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-25, 2.4000, 0.92, NOW(), NOW()) , ('012920', '易方达全球成长精选混合', 2025-11-26, 2.4427, 1.75, NOW(), NOW()) ...
2025-12-09 08:00:01.164 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 保存基金数据成功: fundCode=012920, count=39
2025-12-09 08:00:01.164 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金数据更新完成: 012920 - 易方达全球成长精选混合, 更新记录数: 39
2025-12-09 08:00:01.164 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 012920 - 易方达全球成长精选混合
2025-12-09 08:00:01.164 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始监控基金: 012920
2025-12-09 08:00:01.166 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '012920' ORDER BY nav_date DESC LIMIT 5
2025-12-09 08:00:01.167 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 基金监控完成: 012920 - 易方达全球成长精选混合
2025-12-09 08:00:01.167 [scheduling-1] INFO  c.s.i.f.m.service.FundMonitorService - 开始更新基金数据: 002170 - 东吴移动互联网灵活配置混合C
2025-12-09 08:00:01.167 [scheduling-1] INFO  c.s.i.f.m.service.FundCrawlerService - 开始增量更新基金数据: fundCode=002170, startDate=2025-11-09, endDate=2025-12-09
2025-12-09 08:00:01.168 [scheduling-1] INFO  c.s.invest.common.SqlCostInterceptor - SQL执行耗时: 1 ms, SQL: SELECT * FROM fund_nav WHERE fund_code = '002170' ORDER BY nav_date DESC LIMIT 1
